date	iso2c	res	exr	d_exr	capital_gains
2002-01-01	AE	15310.0335032358	3.6725	NA	NA
2003-01-01	AE	15087.8119036616	3.6725	0	0
2004-01-01	AE	18529.9236976481	3.6725	0	0
2005-01-01	AE	21010.2958422662	3.6725	0	0
2006-01-01	AE	27617.4458225769	3.6725	0	0
2007-01-01	AE	77238.7653581158	3.6725	0	0
2008-01-01	AE	31694.4546940486	3.6725	0	0
2009-01-01	AE	26104.2015977902	3.6725	0	0
2010-01-01	AE	32785.2918834009	3.6725	0	0
2011-01-01	AE	37269.3184225758	3.6725	0	0
2012-01-01	AE	47035.1504309523	3.6725	0	0
2013-01-01	AE	68202.6506602746	3.6725	0	0
2014-01-01	AE	78424.3816650826	3.6725	0	0
2015-01-01	AE	93929.6328745993	3.6725	0	0
2016-01-01	AE	85393.9797465666	3.6725	0	0
2017-01-01	AE	95373.6539668689	3.6725	0	0
2018-01-01	AE	99503.3354787452	3.6725	0	0
2019-01-01	AE	108357.338451761	3.6725	0	0
2002-01-01	AR	10492.4954687375	3.32	NA	NA
2003-01-01	AR	14157.2192489625	2.905	-0.41500000000000004	-4354.385619526062
2004-01-01	AR	19653.0627539788	2.959	0.05400000000000027	764.4898394439788
2005-01-01	AR	28086.6085015579	3.012	0.052999999999999936	1041.612325960875
2006-01-01	AR	32025.9951129806	3.042	0.029999999999999805	842.5982550467315
2007-01-01	AR	46116.4868557802	3.129	0.08700000000000019	2786.2615748293183
2008-01-01	AR	46368.9068202471	3.433	0.3039999999999998	14019.412004157171
2009-01-01	AR	48025.3750856954	3.78	0.347	16090.010666625743
2010-01-01	AR	52230.4668808864	3.956	0.17600000000000016	8452.466015082398
2011-01-01	AR	46353.3371395699	4.284	0.32799999999999985	17131.593136930733
2012-01-01	AR	43246.7727594929	4.898	0.6139999999999999	28460.949003695914
2013-01-01	AR	30532.5103321853	6.501	1.6030000000000006	69324.57673346715
2014-01-01	AR	31403.5483271644	8.51	2.0089999999999995	61339.81325736025
2015-01-01	AR	25523.4437589648	13.1	4.59	144142.2868216846
