date	iso2c	value	classification
2005-01-01	AE	100	EME
2006-01-01	AE	109.35610953603204	EME
2007-01-01	AE	121.50667964009908	EME
2008-01-01	AE	136.4519899120379	EME
2009-01-01	AE	138.58323966738803	EME
2010-01-01	AE	139.79991835684768	EME
2011-01-01	AE	141.02638304059232	EME
2012-01-01	AE	141.9603862951344	EME
2013-01-01	AE	143.52362898220068	EME
2014-01-01	AE	146.89098961566205	EME
2015-01-01	AE	152.86939332427428	EME
2016-01-01	AE	155.3413354806601	EME
2017-01-01	AE	158.39736169594076	EME
2018-01-01	AE	163.2607212557388	EME
2005-01-01	BD	100	EME
2006-01-01	BD	106.76526117054757	EME
2007-01-01	BD	116.48835745752041	EME
2008-01-01	BD	126.85808684707358	EME
2009-01-01	BD	133.73820012586538	EME
2010-01-01	BD	144.60667086217748	EME
2011-01-01	BD	161.0848398324169	EME
2012-01-01	BD	171.100296547894	EME
2013-01-01	BD	183.98484424517923	EME
2014-01-01	BD	196.84840017119473	EME
2015-01-01	BD	209.04174170577488	EME
2016-01-01	BD	220.5673119147454	EME
2017-01-01	BD	233.1442147839131	EME
2018-01-01	BD	246.068847355563	EME
2005-01-01	BG	100	EME
2006-01-01	BG	107.26159462769955	EME
2007-01-01	BG	116.27428678909436	EME
2008-01-01	BG	130.63267243088424	EME
2009-01-01	BG	134.22925409331046	EME
2010-01-01	BG	137.50309298986312	EME
2011-01-01	BG	143.3055907768257	EME
2012-01-01	BG	147.53965233162327	EME
2013-01-01	BG	148.8528932473127	EME
2014-01-01	BG	146.74188562550606	EME
2015-01-01	BG	146.58834480531047	EME
2016-01-01	BG	145.41747173475963	EME
2017-01-01	BG	148.4194046751848	EME
2018-01-01	BG	152.5927630233637	EME
2005-01-01	BR	100	EME
2006-01-01	BR	104.1835681289691	EME
2007-01-01	BR	107.97717625633693	EME
2008-01-01	BR	114.10876160368997	EME
2009-01-01	BR	119.68643757932163	EME
2010-01-01	BR	125.71711030657595	EME
2011-01-01	BR	134.06026299847073	EME
2012-01-01	BR	141.30420815717093	EME
2013-01-01	BR	150.07116021593998	EME
2014-01-01	BR	159.56922420732263	EME
2015-01-01	BR	173.97816721826695	EME
2016-01-01	BR	189.18236895066704	EME
2017-01-01	BR	195.70229969769963	EME
2018-01-01	BR	202.87449598351	EME
2005-01-01	CL	99.99999999999999	EME
2006-01-01	CL	103.39201733699402	EME
2007-01-01	CL	107.94933004025903	EME
2008-01-01	CL	117.35848373923012	EME
2009-01-01	CL	117.77281220746904	EME
2010-01-01	CL	119.43424631796938	EME
2011-01-01	CL	123.42480359120364	EME
2012-01-01	CL	127.13674087463973	EME
2013-01-01	CL	129.41192346414186	EME
2014-01-01	CL	135.51845190413576	EME
2015-01-01	CL	141.41184247175042	EME
2016-01-01	CL	146.76596854298103	EME
2017-01-01	CL	149.96945644411375	EME
2018-01-01	CL	153.62104746247826	EME
2005-01-01	CN	100.00000000000001	EME
