iso2c	date	value
AE	2005-01-01	71.5308
AR	2005-01-01	65.0022756325
AE	2006-01-01	78.2233
AR	2006-01-01	72.0852097936
AE	2007-01-01	86.9147
AR	2007-01-01	78.4529070502
AE	2008-01-01	97.6052
AR	2008-01-01	85.1875992077
AE	2009-01-01	99.1297
AR	2009-01-01	90.5294357274
AE	2010-01-01	100
AR	2010-01-01	100
AE	2011-01-01	100.8773
AR	2011-01-01	109.7753866468
AE	2012-01-01	101.5454
AR	2012-01-01	120.8002640857
AE	2013-01-01	102.6636
AR	2013-01-01	133.6280886092
AE	2014-01-01	105.0723
AR	2014-01-01	162.1695741506
AE	2015-01-01	109.3487
AR	2015-01-01	188.2362690804
AE	2016-01-01	111.1169
AR	2016-01-01	249.0721010958
AE	2017-01-01	113.3029
AR	2017-01-01	310.8269020959
AE	2018-01-01	116.7817
AR	2018-01-01	416.9752205391
AR	2019-01-01	637.155776127
