,year,sem,equalization,realized,revaluation,transfer_from_T,available_bonds,further_recap,total_recap
0,2008,1,-44798.255999999994,-18226.832,0.0,0.0,160000.0,,
1,2008,2,171416.012,-10812.771,0.0,-44798.255999999994,186571.424,0.0,0.0
2,2009,1,-93787.31599999999,-14381.068,171416.012,0.0,175758.653,0.0,0.0
3,2009,2,-53931.575999999994,-13689.005,77628.696,0.0,161377.585,0.0,0.0
4,2010,1,-1893.172,-16077.276000000002,23697.120000000003,0.0,147688.58,0.0,0.0
5,2010,2,-46636.547999999995,-19149.102,21803.948000000004,0.0,131611.30399999997,0.0,0.0
6,2011,1,-46199.28599999999,-25434.332,0.0,-24832.59999999999,137294.80199999997,0.0,0.0
7,2011,2,90240.05900000001,-24145.817000000003,0.0,-46199.28599999999,158059.75599999996,0.0,0.0
8,2012,1,32210.001,-27482.965,90240.05900000001,0.0,133913.93899999995,0.0,0.0
9,2012,2,-9900.595,-26718.384,122450.06000000001,0.0,106430.97399999996,0.0,0.0
10,2013,1,15766.502,-27742.791,112549.46500000001,0.0,79712.58999999997,0.0,0.0
11,2013,2,15918.931,-36081.441,128315.967,0.0,51969.79899999997,0.0,0.0
12,2014,1,-51223.638,-6771.278999999999,144234.89800000002,0.0,15888.357999999971,0.0,0.0
13,2014,2,65173.472,-87443.965,93011.26000000001,0.0,9117.078999999972,0.0,0.0
14,2015,1,46406.614,-111246.832,158184.73200000002,0.0,0.0,78326.88600000003,78326.88600000003
15,2015,2,110938.088,-175072.044,204591.34600000002,0.0,0.0,111246.832,189573.71800000002
16,2016,1,-184645.401,49692.023,315529.434,0.0,0.0,175072.044,364645.762
17,2016,2,-55673.843,-54413.908,130884.033,0.0,49692.023,0.0,364645.762
18,2017,1,-15744.788999999999,-52865.706,75210.19,0.0,0.0,4721.885000000002,369367.647
19,2017,2,-30677.36,-41420.377,59465.401000000005,0.0,0.0,52865.706,422233.353
20,2018,1,146201.37900000002,-63637.238,28788.041000000005,0.0,0.0,41420.377,463653.73
21,2018,2,-19133.806,-43393.46400000001,174989.42,0.0,0.0,63637.238,527290.968
22,2019,1,-7560.802,-37328.203,155855.614,0.0,0.0,43393.46400000001,570684.432
23,2019,2,0.0,0.0,148294.812,0.0,0.0,37328.203,608012.635
