date	target	ipca	ipca_dev	result	after_crisis
2004	5.5	7.6	2.0999999999999996	2709689	0
2005	4.5	5.69	1.1900000000000004	-10494963	0
2006	4.5	3.14	-1.3599999999999999	-13392761	0
2007	4.5	4.46	-0.040000000000000036	-47514139	0
2008	4.5	5.9	1.4000000000000004	139963149	0
2009	4.5	4.31	-0.1900000000000004	-142109848	0
2010	4.5	5.91	1.4100000000000001	-32799750	0
2011	4.5	6.5	2	67512183	0
2012	4.5	5.84	1.3399999999999999	47103436	0
2013	4.5	5.91	1.4100000000000001	63641315	0
2014	4.5	6.41	1.9100000000000001	44876743	0
2015	4.5	10.67	6.17	234050920	0
2016	4.5	6.29	1.79	-249847394	1
2017	4.5	2.95	-1.5499999999999998	-20440663	1
2018	4.5	3.75	-0.75	172277207	1
