,year,sem,reserves,cost_rate_annual,notional,competence,gross_profits,carrying,net_profits,equalization,operational,total_res,realized,d_er
0,2008,1,327650.405,-7.707,22468.383,-5218.103,-26570.114,13008.729,-39580.153,-44798.256,3172.74,-41625.516,-18226.832,-10.128154462823913
1,2008,2,397776.298,-10.509,-11873.568,10546.227,182208.219,21358.998,160869.785,171416.012,10172.653,181588.665,-10812.770999999999,46.80570387587159
2,2009,1,438075.574,-7.344,-366.46,2297.633,-79393.613,16678.701,-96084.949,-93787.316,-941.601,-94728.917,-14381.068000000001,-16.491228070175445
3,2009,2,402004.99,-6.628,0.0,-16.548,-40231.955,13672.457,-53915.028,-53931.576,6550.645,-47380.931,-13689.005000000001,-10.780897724943628
4,2010,1,440389.22,-7.103,0.0,0.0,14160.113,16077.276,-1893.172,-1893.172,10803.195,8910.023,-16077.276,3.4631288766368007
5,2010,2,470050.072,-7.895,0.0,0.0,-27450.64,19149.102,-46636.548,-46636.548,4926.775,-41709.773,-19149.102,-7.510407993338896
6,2011,1,519588.276,-8.813,9532.633,-1732.793,-20777.299,23701.539,-44466.494,-46199.286,12230.706,-33968.58,-25434.332000000002,-6.307766174528862
7,2011,2,600933.87,-8.587,1607.962,2427.14,114338.12,26572.957,87812.919,90240.059,11240.704,101480.763,-24145.817,20.158862340657222
8,2012,1,679814.564,-8.083,-4577.373,809.627,59664.739,28292.592,31400.374,32210.001,12499.142,44709.143,-27482.965,7.756690478729089
9,2012,2,770854.848,-6.833,-2057.34,314.789,16818.895,27033.173,-10215.384,-9900.595,12294.888,2394.293,-26718.384,1.0983030722802045
10,2013,1,765798.488,-6.912,-18249.911,-524.651,43498.072,27218.14,16291.153,15766.502,17688.071,33454.573,-27742.791,8.421825299730855
11,2013,2,853443.098,-7.773,-74883.442,-1857.541,52063.356,34223.9,17776.471,15918.931,14267.811,30186.742,-36081.441,5.732081603177486
12,2014,1,866098.507,-6.114,-198483.007,20274.594,-44452.354,27045.873,-71498.227,-51223.638,5271.503,-45952.135,-6771.278999999999,-5.980534448902919
13,2014,2,908542.958,-11.871,-284959.091,-30955.169,152617.46,56488.796,96128.664,65173.472,25655.376,90828.848,-87443.965,20.599318955732127
14,2015,1,1105320.927,-12.802,-336938.045,-37026.042,157653.446,74220.79,83432.656,46406.614,35184.659,81591.273,-111246.832,16.805963406369994
15,2015,2,1366913.454,-15.149,-426770.003,-65602.309,286010.132,109469.735,176540.397,110938.088,41521.539,152459.627,-175072.044,25.855733900599496
16,2016,1,1383607.265,-4.17,-195223.686,78706.311,-234337.424,29014.288,-263351.712,-184645.401,-17307.681,-201953.082,49692.023,-17.798606842860064
17,2016,2,1228484.466,-9.35,-85504.414,5097.359,-1259.935,59511.267,-60771.202,-55673.843,7780.387,-47893.455,-54413.907999999996,1.5359212411988343
18,2017,1,1194202.052,-9.092,-91700.339,3336.866,37120.917,56202.572,-19081.655,-15744.789,11271.662,-4473.131,-52865.706,1.506550888282021
19,2017,2,1220361.996,-7.065,-78332.895,2945.877,10743.016,44366.254,-33623.238,-30677.36,14709.838,-15967.523,-41420.377,-0.006045583701108637
20,2018,1,1309456.844,-6.798,-258295.35,-17665.151,209838.617,45972.087,163866.53,146201.379,19655.292,165856.671,-63637.238,16.559854897218873
21,2018,2,1481125.927,-6.152,-259921.018,3404.818,24259.658,46798.282,-22538.624,-19133.806,25554.33,6420.524,-43393.464,0.4927641475180211
22,2019,1,1469645.384,-5.618,-259309.962,4873.898,29767.401,42202.101,-12434.7,-7560.802,21072.848,13512.047,-37328.203,-1.099411582533294
